code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
600267,海正药业,化学制药,浙江,8.3,9.66,9.66,245.92,92.51,73.03,36.49,3.78,1.3,7.7,1.87,20000725,24.82,2.57,6.5,17542.0,45.14,15.1,37363.0
600466,蓝光发展,区域地产,四川,5.99,30.13,30.13,1827.18,1635.79,17.29,6.08,0.2,0.77,4.45,1.51,20010212,85.18,2.83,95.27,107.83,26.01,9.09,50000.0
000036,华联控股,全国地产,深圳,6.82,14.75,14.84,121.46,98.41,8.22,2.32,0.16,0.41,3.19,1.17,19940617,25.9,1.75,-16.88,-17.57,75.18,27.01,61374.0
000671,阳 光 城,区域地产,福建,9.49,39.73,40.51,3103.18,2759.83,15.72,37.01,0.91,0.49,4.89,1.44,19961218,110.2,2.72,23.47,42.56,28.38,7.04,50343.0
000933,神火股份,煤炭开采,河南,2.58,19.0,19.01,531.05,185.66,178.92,19.51,1.03,1.328,4.49,1.02,19990831,38.03,2.0,-8.44,730.83,16.6,18.81,109000.0
600723,首商股份,百货,北京,9.36,6.58,6.58,68.59,54.25,7.22,8.25,1.25,0.452,6.33,0.89,19960716,23.25,3.53,-0.91,9.44,24.2,4.09,33003.0
002081,金 螳 螂,装修装饰,江苏,9.63,25.96,26.84,362.46,317.75,8.28,3.2,0.12,0.65,5.43,1.54,20061120,104.52,3.89,22.66,10.47,18.58,7.7,67000.0
600704,物产中大,商贸代理,浙江,8.69,43.07,50.62,1041.58,733.86,69.03,39.34,0.78,0.49,4.46,1.22,19960606,93.97,1.86,18.52,29.93,2.68,0.94,68739.0
601818,光大银行,银行,北京,4.86,398.11,524.89,47232.47,0.0,189.04,535.33,1.02,0.57,5.99,0.65,20100818,1217.93,2.32,23.19,13.11,0.0,31.33,190827.0
601225,陕西煤业,煤炭开采,陕西,6.72,100.0,100.0,1245.6,331.87,387.37,73.95,0.74,0.94,5.64,1.44,20140128,356.05,3.56,23.4,2.47,43.72,17.9,46193.0
000717,韶钢松山,普钢,广东,5.81,24.2,24.2,167.47,54.05,98.75,32.09,1.33,0.5329999999999999,3.09,1.34,19970508,12.31,0.51,11.77,-53.23,9.62,5.96,119015.0
601003,柳钢股份,普钢,广西,6.58,25.63,25.63,279.68,186.65,85.91,2.08,0.08,0.579,4.09,1.24,20070227,60.04,2.34,1.94,-54.41,9.05,4.22,59411.0
600340,华夏幸福,区域地产,河北,5.67,29.79,30.13,4453.34,4023.69,56.94,18.71,0.62,3.18,13.21,1.85,20031230,341.57,11.34,42.48,23.71,40.4,15.15,80268.0
002478,常宝股份,钢加工,江苏,7.85,5.99,9.6,69.76,38.53,16.55,13.78,1.44,0.5329999999999999,4.55,1.23,20100921,16.88,1.76,3.46,39.18,25.68,12.37,23248.0
600740,山西焦化,焦炭加工,山西,7.51,7.41,15.16,215.42,63.12,36.68,78.22,5.16,0.593,6.97,0.85,19960808,9.88,0.65,0.89,-30.14,-2.57,17.13,67784.0
000885,城发环境,公路,河南,7.42,4.96,4.96,83.38,12.57,55.67,0.55,0.11,1.121,5.9,1.88,19990319,19.71,3.97,20.29,27.46,61.26,32.85,35807.0
000001,平安银行,银行,深圳,9.11,194.06,194.06,37076.83,0.0,105.87,808.16,4.16,1.32,13.82,1.07,19910403,1152.93,5.94,18.8,15.47,0.0,22.94,299958.0
000042,中洲控股,全国地产,深圳,5.02,6.62,6.65,439.07,390.6,11.24,25.15,3.78,1.393,11.44,0.81,19940921,38.74,5.83,-46.31,22.25,50.27,24.36,17491.0
