ID	logFC	logCPM	PValue	FDR
gene1	3.606291331	11.00427401	0.015680197	1
gene2	-3.04057845	10.53061867	0.053140514	1
gene3	3.703801227	9.987243446	0.068251378	1
gene4	1.799208092	12.67495612	0.076328506	1
gene5	2.340779884	10.65521902	0.081371256	1
gene6	2.408534748	10.15908741	0.093215097	1
gene7	-1.559809943	12.72708799	0.09584637	1
gene8	2.960460179	9.551142213	0.098226092	1
gene9	-5.044719823	9.323697751	0.004501148	1
gene10	1.585207217	12.16964124	0.108656081	1
gene11	2.369116914	9.759515548	0.134328585	1
gene12	3.212937751	9.686034224	0.13905027	1
gene13	1.918682264	11.51032747	0.143182995	1
gene14	2.958113227	9.545059767	0.049621155	1
gene15	-2.327139713	9.721953523	0.15134958	1
gene16	1.946316555	10.1655898	0.156550319	1
gene17	2.652062418	9.395021189	0.156909908	1
gene18	-1.076173783	15.01836181	0.038802705	1
gene19	1.538095558	10.80089959	0.170340997	1
