Group	ACE	simpson	shannon	chao1
A	7431.791481	0.95616478	6.522178014	6898.77305
A	7004.820953	0.960645725	6.527125003	6212.088161
A	6380.236953	0.948820714	6.149282592	5754.934726
A	7338.137416	0.912609088	5.730040659	6531.474138
A	9094.744324	0.952760681	6.681986703	7894.198131
A	6907.050453	0.811615945	5.302183443	6153.32
B	8547.262918	0.952562215	6.535950086	7919.756381
B	8031.405622	0.95904364	6.643041788	7342.314978
B	8130.311017	0.953970065	6.629930774	7232.347092
B	8216.763283	0.955682909	6.685143943	7375.399635
B	6914.641711	0.948870108	6.302894444	6012.512195
B	6230.509096	0.899418153	5.727165614	5614.074766
