# Constructed from biom file
OTU.ID	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	taxonomy
4376890	3.0	20.0	10.0	22.0	37.0	1.0	5.0	23.0	15.0	20.0	12.0	6.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Methyloversatilis; s__
1131498	4.0	3.0	92.0	0.0	5.0	20.0	7.0	7.0	15.0	6.0	9.0	1.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
577116	6.0	22.0	14.0	67.0	7.0	1.0	57.0	5.0	10.0	45.0	6.0	4.0	k__Bacteria; p__GN04; c__GN15; o__; f__; g__; s__
808352	596.0	18.0	10.0	26.0	329.0	22.0	18.0	15.0	14.0	13.0	18.0	18.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
4443285	14.0	19.0	8.0	5.0	15.0	3.0	18.0	21.0	16.0	14.0	6.0	10.0	k__Bacteria; p__SBR1093; c__VHS-B5-50; o__; f__; g__; s__
254138	26.0	65.0	16.0	13.0	18.0	2.0	18.0	14.0	32.0	13.0	4.0	3.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
583206	40.0	66.0	59.0	13.0	91.0	11.0	112.0	25.0	88.0	90.0	33.0	54.0	k__Bacteria; p__Chloroflexi; c__TK17; o__mle1-48; f__; g__; s__
814055	6.0	11.0	3.0	3.0	22.0	3.0	4.0	5.0	5.0	8.0	9.0	10.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
833957	7.0	7.0	20.0	2.0	8.0	13.0	3.0	1.0	2.0	2.0	3.0	1.0	k__Bacteria; p__Chloroflexi; c__Ellin6529; o__; f__; g__; s__
1107025	480.0	520.0	208.0	181.0	436.0	147.0	440.0	635.0	424.0	596.0	343.0	322.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales; f__; g__; s__
