Accession	case1	case2	case3	con1	con2	con3
FASN	3.762403082	3.428845026	3.668578931	0.193637232	0.193493118	0.250488081
ALDOA	1.858584533	2.110256588	2.154524156	0.350875979	0.226175565	0.490139164
AZGP1	0.180775294	0.146288298	0.132006557	0.257362851	0.228219599	0.228110686
COL12A1	0.550143248	0.682325102	0.783813327	0.353196098	0.247310014	0.34271067
BCAM	1.017835438	1.023209246	0.9710944	0.343775292	0.266565063	0.331123136
COL5A2	0.253359062	0.123306273	0.187941295	0.385939056	0.297220431	0.329948935
KIAA1324	1.30260488	1.37894684	1.548108075	0.465387285	0.373179307	0.448423018
LASS2	2.616506196	2.994403688	3.125151634	0.591826923	0.406607006	0.544348166
MXRA5	1.028905468	1.169161737	1.070205994	0.402628004	0.424570958	0.558025641
RPL41	1.081866385	0.972901584	1.043205881	0.587093579	0.42789292	0.433774219
SEPP1	1.441698324	1.641752631	1.472429148	0.609032134	0.436600136	0.774526034
REEP5	1.477879445	1.727417046	1.630311547	0.549086767	0.443662936	0.48553625
CD164	1.94460839	2.221612229	1.950474108	0.621702603	0.446686227	0.64204729
CTNNA1	0.270115014	0.289297768	0.31427619	0.432005577	0.452803627	0.449157053
ITGB5	1.512565275	1.368347612	1.419562619	0.766822029	0.465071958	0.542354777
DSTN	1.149209254	1.149209254	1.065761407	0.476743899	0.476743899	0.504834015
STOM	0.312109968	0.331006203	0.47212083	0.637002394	0.48181107	0.63648614
GPRC5A	1.983939736	1.956208149	2.301358607	0.498529448	0.487790106	0.57564709
SERINC1	3.364884228	2.698973046	2.703475336	0.637077728	0.493761102	0.63508385
LRRC15	1.427005078	1.572015664	1.405635857	0.646886456	0.510846451	0.486768444
SCNN1A	1.262791405	1.318938555	1.166137741	0.81186881	0.513908172	0.491705138
GOLGB1	2.065079912	2.292703542	1.85762708	0.294394144	0.539234879	0.748478684
TSC22D3	2.11779256	2.132690187	2.809500103	0.627211249	0.542985613	0.651433796
SYTL2	1.091080266	1.273632086	1.144016858	0.603244408	0.547111154	0.586879061
ATP6AP1	1.255839708	1.296395076	1.426633858	0.57790752	0.554864871	0.469096439
SULF1	1.310892097	1.161358969	1.360399392	0.634361739	0.557660177	0.458816952
TMEM59	1.90898066	1.882520896	1.555702826	0.630935652	0.557815228	0.601525671
HN1L	1.380952179	1.797113635	1.386479871	0.737357847	0.56645732	0.750186656
LIMA1	2.686823557	2.244304574	1.974593739	0.660084831	0.568549887	0.540884744
SHROOM3	1.262409533	1.262409533	1.128189889	0.574770104	0.574770104	0.747939518
CCNG2	1.547922503	1.265037986	1.265037986	0.561905476	0.580585889	0.580585889
ASPH	4.329599561	2.906173061	3.209575318	0.779442741	0.606525258	0.538790625
ENPP1	3.194325453	2.853550142	1.92777136	0.647735953	0.623786789	0.373463105
RHOA	0.406060429	0.356886062	0.382781519	0.64534533	0.631970376	0.880761541
RAB5B	1.027809211	1.241385264	1.097913914	0.770373148	0.644102085	0.796925631
SEL1L	1.554554997	1.703153403	1.64550255	0.859568641	0.650883075	0.882526404
GALNT10	1.595292524	1.842630974	1.601400082	0.668661493	0.654136547	0.879943798
RHOC	0.989356009	1.099439134	1.113098128	0.802917091	0.660051487	0.602428887
DDX5	2.042651789	1.692131044	1.884606098	0.743606224	0.668856927	0.659647817
CMBL	1.88531991	1.632417072	1.596686371	0.565574694	0.679487398	0.750642751
PDXDC1	0.251041987	0.279117908	0.411290565	0.582295135	0.682718783	0.79789878
CANT1	3.90443114	2.380378735	3.051288127	0.612180297	0.697402409	0.643711456
TMED10	1.203534267	1.272542028	1.203916828	0.60866145	0.706919875	0.722157806
CYB5A	2.264831014	2.229557724	2.558013078	0.712820539	0.710899738	0.792713433
MEGF9	1.164204375	1.017154138	1.162254253	0.752586459	0.71308093	0.754290758
SYNGR2	2.195012345	2.702272933	2.759458766	0.842885617	0.727511464	0.89967857
ARSD	0.502170491	0.468592566	0.415158247	0.773010724	0.729387325	0.807140177
TTC3	1.550172975	1.452368213	1.21117495	0.776575492	0.749210535	0.810321235
KIAA0100	1.21771419	1.332382207	1.471455904	0.783216326	0.758528604	0.801015713
S100A14	0.5222208	0.453103132	0.426795236	0.614536992	0.759323946	0.784038601
CCNI	1.675164946	1.613131318	1.383420611	0.672196643	0.767146186	0.699160411
C20orf3	1.303521878	1.61404035	1.423462183	0.842707991	0.767150904	0.942275389
GPD1L	2.033786428	1.679229181	2.118803869	0.898370927	0.777989829	0.970157125
HSPA9	1.216260638	1.494690486	1.301904312	0.770074329	0.802639011	0.794180895
NFE2L1	1.167200944	1.482920896	1.514006777	0.722718355	0.821214047	0.869779238
PRSS8	1.52528044	1.407886397	1.358719151	0.841781514	0.825900344	0.827023257
CAMK2N1	1.71935196	1.57530678	1.646059975	0.92116226	0.828779473	0.899218554
PCDH1	1.81247705	1.735413716	1.645079031	0.857135465	0.837307949	0.82334278
DUSP4	1.376264466	1.521179531	1.352679084	0.887018188	0.844916443	0.89295763
GSPT1	1.821860508	1.527437262	2.130072976	0.986650867	0.848645885	0.993137953
GTF3C1	1.248397047	1.400736347	1.253731115	0.865540141	0.852981306	0.845846795
BAZ2A	1.352282279	1.349741542	1.414021006	0.895826924	0.860427309	0.877917111
PRDX3	1.512506207	1.587059599	1.388891571	0.943801977	0.872781861	0.901273359
CPT1A	0.790289843	0.507763455	0.517630884	0.947343544	0.874787559	1.005653515
EPHX1	1.825845712	1.747416394	1.47992087	0.760882829	0.879645335	0.891944833
SRP9	1.593458327	1.681793046	1.473614772	0.900870356	0.885859533	0.882574772
PDCD6IP	0.382219521	0.384771975	0.427839447	0.865262037	0.897975149	0.998567333
SETD7	1.676111525	1.368183041	1.553980262	1.005025779	0.918028821	0.948629045
CAST	1.546775314	1.565243777	1.436656302	0.921257663	0.918324407	0.947890582
SLC39A11	1.476223904	1.366964122	1.553829906	0.937063122	0.919963697	0.940624423
SPATA20	1.377356418	2.152238415	1.97806996	0.916540239	0.935458216	1.013023763
RETSAT	1.435515639	1.580885419	1.439700461	0.862252572	0.936369117	0.852578597
ATP6V1G1	0.775921211	0.573525174	0.722510844	1.108582425	0.954096198	1.066081309
LONP2	0.499020484	0.430897726	0.455797898	0.790776522	0.971974677	0.857185373
SRP14	0.440021799	0.535689921	0.54352863	1.106307551	1.007185167	1.022780241
KIAA1217	1.902095991	1.574519845	1.458313417	1.056328434	1.02118561	1.084771141
NFIA	0.630061303	0.671149042	0.614974458	0.911029908	1.035267275	1.031894458
DUSP5	0.535499641	0.426370546	0.463740747	0.925435644	1.036973977	0.991619349
CCPG1	1.486046226	1.535890261	1.642216093	1.045047775	1.039295517	0.98290149
SUPT6H	0.737195412	0.567277488	0.531850749	1.049453048	1.040701618	0.948715401
PCYOX1	0.58027444	0.58027444	0.713079294	1.043069528	1.043069528	0.958155689
SIDT1	0.528054769	0.556183354	0.843408464	1.152850801	1.055548458	0.892965741
KIAA0247	2.251428701	1.604846747	1.759108741	1.128712284	1.059081137	1.108512949
FYCO1	0.707273855	0.627580493	0.600100065	1.056522403	1.087437086	1.234311574
PIP4K2B	0.938146769	0.580240785	0.708477963	1.167604744	1.087652023	1.151236303
RAB14	0.660204547	0.444555887	0.370972485	1.124368531	1.11721328	1.107059877
IQGAP2	0.519080279	0.707268506	0.763950186	0.968365247	1.124516037	1.044743885
RNF103	0.72259693	0.630659813	0.75986477	0.984660386	1.141550875	1.158421149
