# Constructed from biom file					
OTU.ID	A	C	B	E	D
189503	0	0	0	0	1
27497	1	1	0	0	2
4376890	23	38	32	35	28
216771	0	0	0	1	1
561640	1	7	1	2	0
1121898	0	0	1	0	0
1131498	7	25	92	21	14
193891	4	3	0	4	11
577116	28	8	81	55	62
808352	614	351	36	27	33
208514	0	3	2	2	1
1105330	3	0	0	0	1
4443285	33	18	13	30	39
829373	0	1	0	0	0
228436	0	0	2	0	1
4301261	2	0	0	2	2
254645	0	0	2	0	1
254138	91	20	29	45	32
698676	0	0	2	0	0
814778	1103	105	113	145	86
3984866	0	3	1	2	0
4470549	2	0	0	0	0
4479752	2	4	2	3	2
1116073	0	1	0	0	0
593138	0	2	0	0	0
112992	1	1	0	0	0
4433512	1	0	0	1	5
566212	26	21	12	16	19
2920135	0	3	0	1	1
4339417	307	76	49	105	151
592844	0	1	0	2	0
4418689	0	0	0	0	0
1056070	23	16	10	27	19
247879	0	0	2	0	0
153978	0	0	0	0	1
2896033	5	1	0	3	6
1128945	0	0	0	0	1
1132969	1	1	0	0	1
583206	106	102	72	178	137
814055	17	25	6	13	9
833957	14	21	22	4	4
346925	0	0	0	1	0
1107025	1000	583	389	1020	1075
103167	2	1	0	1	0
159741	16	4	0	9	16
4327670	2	0	0	0	0
4365790	0	0	1	0	0
1580377	0	0	0	1	2
4429771	4	0	1	0	0
4357815	1	0	0	3	2
538679	4	2	1	0	7
817380	46	25	588	34	23
238101	1	0	0	0	1
258935	0	2	0	0	0
1128703	705	84	541	256	280
4350014	0	1	1	0	0
573135	0	1	2	1	2
4380522	0	0	0	1	0
4452634	0	1	0	0	0
145574	0	1	0	0	1
4417091	0	0	0	2	0
315982	0	0	0	0	0
806393	11	3	2	2	3
231772	2	1	0	0	0
2792167	0	1	0	9	3
211106	2	5	0	2	5
4357289	0	0	0	1	0
4816	0	1	0	0	0
544426	0	0	2	0	0
4477999	0	1	0	0	0
1119093	0	0	0	1	1
678917	9	10	47	25	0
239747	0	2	0	0	2
4075741	10	6	1	8	10
4357886	165	201	17	108	72
139321	1	1	0	0	1
815058	5	3	0	2	2
850642	0	0	0	1	0
228873	392	83	388	221	49
4317089	3	2	0	2	2
797310	1	3	2	4	1
1742484	0	1	0	0	12
4475561	0	0	0	1	0
258294	0	1	0	1	0
1111553	102	4	2	6	4
170244	2	0	0	0	1
584933	1	0	2	2	0
50120	0	0	1	0	0
4420557	6	0	3	1	0
264326	8	17	8	3	10
4327914	0	0	1	0	0
804948	271	1161	232	168	411
582703	0	1	0	0	2
957166	150	46	50	101	168
1116545	1	0	0	1	0
266558	0	1	0	0	0
152125	0	0	0	1	1
4314393	2	0	0	2	0
4439707	0	1	5	2	0
236922	5	1	0	2	8
236923	23	1	4	7	51
166686	1	0	2	0	0
52859	16	14	6	12	17
344394	0	0	1	1	0
3276020	9	6	17	5	1
582597	0	0	0	0	0
4327829	2	1	0	0	0
4362775	0	0	0	1	0
1111636	4	2	7	0	0
305025	1	1	1	0	0
115024	662	535	128	525	613
545247	1	1	0	2	0
822036	0	0	0	1	0
813567	0	0	0	0	0
1131019	0	0	0	0	2
4313922	18	7	5	11	11
4322918	1	0	2	5	0
558173	1	1	0	0	4
2651333	1	0	0	0	1
129759	0	1	1	1	4
841170	11	167	36	9	54
850748	0	0	1	0	0
638679	11	2	0	1	6
630311	0	0	0	0	1
575299	1	0	0	0	2
137866	0	0	0	1	0
