OTU1015518 OTU343089 OTU68624 OTU219088 OTU4295230 OTU886735 OTU4358096 OTU4290144 OTU386088 OTU219457 group
NP1 1 42 0 52 1 4 1 0 7 15 A
NP2 6 190 0 43 2 4 16 1 1 15 A
NP3 2 51 3 40 4 0 11 6 15 9 A
NP4 45 72 0 41 4 0 12 0 0 9 A
NP5 0 292 0 25 1 2 42 0 0 7 A
NP8 0 75 0 32 1 1 17 5 12 12 B
NP9 6 162 1 34 1 1 19 3 2 13 B
NP10 0 768 0 58 4 48 66 1 0 10 B
NP12 0 462 0 40 3 0 81 0 2 7 B
NP17 1 333 0 40 7 0 63 1 4 10 B
NP16 1 51 0 31 1 0 10 0 0 10 C
NP19 7 990 1 39 4 0 111 2 0 7 C
NP20 0 527 0 29 2 2 104 10 1 11 C
NP21 7 235 0 40 1 23 21 2 22 10 C
NP23 0 710 2 44 126 0 98 35 1 12 C
NP28 2 1288 3 40 77 3 118 21 0 6 C
