	F1	F2	E1	A1	A2	B1	B2	C2	C1	E2	D2	D1
F1	0.0	0.560227749407	0.589193916425	0.570725063077	0.564368111941	0.586331574071	0.566571985096	0.573919239752	0.572173159779	0.583946470417	0.580101662515	0.5845223722
F2	0.560227749407	0.0	0.616069877912	0.594284256312	0.592368829128	0.585666173175	0.568092050465	0.556906552907	0.592412053465	0.606875826049	0.610159745701	0.602778360352
E1	0.589193916425	0.616069877912	0.0	0.547967804335	0.551557415051	0.625852993319	0.602420056524	0.612491842721	0.576671824228	0.534073392661	0.545887562168	0.556497355716
A1	0.570725063077	0.594284256312	0.547967804335	0.0	0.536530472516	0.618841347093	0.584784523478	0.595880984019	0.561226125613	0.547245811824	0.546386977844	0.573523142749
A2	0.564368111941	0.592368829128	0.551557415051	0.536530472516	0.0	0.608107549042	0.580116933448	0.585027167883	0.565162762322	0.539118848772	0.540980937773	0.563796866162
B1	0.586331574071	0.585666173175	0.625852993319	0.618841347093	0.608107549042	0.0	0.591361999042	0.595523844652	0.617763732148	0.612683189572	0.623714735976	0.596007321202
B2	0.566571985096	0.568092050465	0.602420056524	0.584784523478	0.580116933448	0.591361999042	0.0	0.550612992649	0.573818109963	0.586309076508	0.590226306871	0.597222830744
C2	0.573919239752	0.556906552907	0.612491842721	0.595880984019	0.585027167883	0.595523844652	0.550612992649	0.0	0.566737202811	0.601134359685	0.594706599828	0.591164735616
C1	0.572173159779	0.592412053465	0.576671824228	0.561226125613	0.565162762322	0.617763732148	0.573818109963	0.566737202811	0.0	0.556706175231	0.562063094143	0.581694311242
E2	0.583946470417	0.606875826049	0.534073392661	0.547245811824	0.539118848772	0.612683189572	0.586309076508	0.601134359685	0.556706175231	0.0	0.539749169429	0.53868184546
D2	0.580101662515	0.610159745701	0.545887562168	0.546386977844	0.540980937773	0.623714735976	0.590226306871	0.594706599828	0.562063094143	0.539749169429	0.0	0.55815503606
D1	0.5845223722	0.602778360352	0.556497355716	0.573523142749	0.563796866162	0.596007321202	0.597222830744	0.591164735616	0.581694311242	0.53868184546	0.55815503606	0.0
