"Sample_Name","Sample_Well","Sample_Source","Sample_Group","Sample_Label","Pool_ID","Array","Slide","Basename","ID"
1,"A1","M28","naive","naive",NA,"R01C01","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R01C01","naive.1"
2,"B1","M28","rTreg","rTreg",NA,"R02C01","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R02C01","rTreg.2"
3,"C1","M28","act_naive","act_naive",NA,"R03C01","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R03C01","act_naive.3"
4,"D1","M29","naive","naive",NA,"R04C01","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R04C01","naive.4"
5,"E1","M29","act_naive","act_naive",NA,"R05C01","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R05C01","act_naive.5"
6,"F1","M29","act_rTreg","act_rTreg",NA,"R06C01","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R06C01","act_rTreg.6"
7,"G1","M30","naive","naive",NA,"R01C02","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R01C02","naive.7"
8,"H1","M30","rTreg","rTreg",NA,"R02C02","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R02C02","rTreg.8"
9,"A2","M30","act_naive","act_naive",NA,"R03C02","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R03C02","act_naive.9"
10,"B2","M30","act_rTreg","act_rTreg",NA,"R04C02","6264509100","/usr/local/lib/R/site-library/methylationArrayAnalysis/extdata/6264509100/6264509100_R04C02","act_rTreg.10"
