ID	S1G	S2G	T1G	T2G
2288	95.5379	105.173	54.1253	93.5864
2519	13.7293	25.1091	20.2451	21.8504
1595	9.75649	12.856	7.63917	12.4025
29843	0.792349	0.557758	2.39666	0.258258
7748	0.228589	1.12679	1.33114	1.26034
5166	2.0297	2.61364	17.9044	10.5194
5898	19.0875	10.6099	12.4736	17.2092
55971	4.87474	6.38738	4.58062	4.59668
10368	0	0	0	0
79657	4.77349	3.88652	3.75684	5.20059
55615	3.77255	3.26215	8.47933	7.10711
1087	1.73684	0.0511833	0	0.0300767
113000	14.685	10.9687	12.7467	14.7227
51087	0.559586	1.92893	0.695391	0.238444
83930	11.6611	7.615	3.73055	4.22131
928	315.381	192.125	217.925	152.751
8798	2.70053	2.02903	2.09903	1.87355
55200	1.05587	0.699324	4.10117	2.65574
10867	7.45682	7.42107	12.0221	15.4154
8529	0	0	0	0
3097	2.07391	0.822915	0.165472	2.22743
55148	9.86861	14.3882	9.00648	9.68652
1355	4.10906	3.00795	3.54067	5.15838
729540	1.65152	1.745	2.44671	2.40607
51306	2.95246	4.74069	5.15115	5.68688
3224	0.963754	1.09975	1.5726	1.5073
84245	8.94987	5.95123	7.95389	9.91119
1634	33.8399	30.5186	291.242	223.873
89801	1.33951	0.781496	2.3533	1.79645
9603	1.59528	3.23958	1.31483	1.31243
23593	32.0445	66.5962	34.6299	30.9221
3556	0.862636	0.537075	0.506501	1.29525
54432	11.4203	4.60791	2.22924	3.65564
3631	0.667457	0.593671	0.00010742	0.222141
51564	8.21851	9.53338	21.988	25.0435
27440	0.0107364	0.0172087	0.991484	2.59204
3784	3.85208	2.63232	5.14847	5.76695
28951	6.80561	7.27505	8.42785	7.59594
55808	5.72899	0.000179867	0.705868	0.658954
9744	1.72218	3.27961	2.09105	2.37591
57719	2.52888	3.84528	2.2926	3.74541
3385	8.95711	9.83095	9.27096	6.81201
23152	4.70003	6.29944	13.1149	12.0821
3835	16.6197	34.0818	14.2517	17.478
634	0.440467	1.00686	0.528025	0.332133
64848	3.54134	2.06389	2.16843	2.67061
7132	56.3467	42.7728	92.6406	83.1253
9950	15.2262	13.2557	12.7093	13.7831
1951	0.412405	2.40433	0.104344	0.238578
5526	3.29115	8.60727	7.96864	7.15805
8974	4.96177	2.04676	4.92296	2.75531
5134	3.92976	4.88693	1.37657	2.12232
3993	2.14933	1.97263	1.73587	1.61484
3861	2.00825	4.0553	873.267	498.849
6480	33.5002	5.43902	15.5588	13.5202
80341	0.69764	0.603932	2.41013	0.62846
100302210	3.29177	4.07334	7.18633	8.3528
23609	5.45292	6.64283	7.98989	8.57042
10411	1.17126	0.458582	4.18507	2.3919
26469	8.09252	7.48981	15.2787	16.851
1815	2.06465	1.2295	0.561984	0.586067
6343	9.57712	3.63632	0	0
65993	5.44354	4.83067	2.25397	2.14697
57103	4.44453	3.56275	2.1588	2.02695
11176	0.00236389	0.00193227	0.00852277	0.00189653
8621	2.85778	1.77558	3.23844	3.18982
9697	7.17612	5.49296	8.19748	11.6442
23505	9.04569	6.12879	6.83204	7.08204
79041	3.15216	0.673986	1.3565	1.07939
50939	0.0207601	0.0195059	0.0489073	0.0193725
87	83.4589	50.3684	56.0131	54.8207
6561	0.0230955	0.0429075	0.0662638	0.0319026
56131	0.701385	6.30256	3.47684	2.95819
56133	7.26546	5.5911	2.01232	4.40086
51668	13.351	5.75037	5.15563	5.98366
10523	0.499622	2.16551	1.02258	1.36135
54749	0.0102362	0.0097565	0.00956702	0.00953074
4680	4.13641	1.69865	0.959084	4.34909
3691	0.304995	1.12744	3.73077	4.3635
6354	0.839836	0.341502	0	0
6583	2.71294	0.472389	1.1615	0.786446
28954	0.757171	1.4086	4.42481	5.0347
81572	15.3807	21.9677	14.1288	15.2696
2036	2.93542	3.38329	8.41729	4.98014
23368	3.29671	2.5258	4.96694	5.26343
6128	459.177	407.763	982.123	1069.16
29058	47.197	56.3711	58.0336	63.3137
4938	42.9365	12.2177	2.55021	13.2488
23409	0.819239	1.16683	0.700129	0.653542
51605	5.45244	3.12372	3.96763	4.76559
2802	1.52354	0.377472	0.172546	0.802111
64857	0.412551	1.25401	1.12673	1.63536
140465	21.5771	22.9855	51.1713	51.171
201294	5.03271	2.26059	4.71658	3.76819
5711	12.7229	6.09387	7.24294	8.9908
57715	0.159399	0.590173	0.51704	1.24989
5603	15.8486	25.0781	18.7308	14.3866
28978	19.2676	37.6134	10.9743	12.2423
1943	0.0432612	0.101005	0	0.0808089
513	1.8249	1.02598	8.18506	7.53791
3483	0.0658486	1.14547	0.648489	0.820024
4713	616.763	704.065	617.337	509.101
9524	139.395	204.67	141.403	154.731
10291	16.2222	19.419	28.931	36.457
11274	8.05397	7.478	5.31588	7.15352
200312	0.760152	0.289322	2.03003	0.975663
6634	32.3226	24.2801	23.2681	24.2918
6948	2.95244	4.92067	4.57312	4.46976
1417	0.06904	0.377265	0.0666617	0.19415
22880	0.122343	0.241069	0.0429469	0.204576
3957	4.75606	14.6776	4.98015	4.4808
57026	2.97817	6.1322	2.21262	5.19943
3956	1887.1	1284.15	1588.56	1540.89
129138	9.78504	10.2079	9.8036	12.4292
85377	6.05393	5.15242	13.8426	13.4408
11015	9.74055	6.7346	6.7412	13.2634
11144	0.0306083	0.144391	0.245994	0.0900714
25776	10.7102	15.8438	18.462	21.6353
56993	27.0042	30.5574	30.6519	29.7995
9929	12.3268	11.1604	14.0843	14.5879
9567	7.05597	7.58021	11.1594	13.6466
25777	36.2401	20.92	63.1389	59.2084
10126	18.6792	22.9393	20.4474	21.2172
23466	0.701699	0.505461	1.36591	5.47099
140564	4.28887	2.36043	2.93318	2.99949
638	23.039	37.978	12.499	11.0443
23170	39.7931	17.6389	13.8667	23.8257
23492	3.90847	13.7892	40.6463	24.2383
116938	980.127	1172.75	1415.88	1802.68
9145	3.51344	6.60505	3.77062	1.46133
10454	7.77993	7.71186	11.7517	14.8036
80339	0.972654	0.000695246	0.0301497	0.302926
158	8.06844	5.51028	5.88712	4.9171
7380	0.262298	1.1085	1.45877	6.42209
55007	1.74422	1.77579	2.36532	3.96807
6767	61.2474	57.77	67.9854	80.4042
9978	68.2654	67.1786	38.8581	39.3326
83746	5.76239	5.36477	9.95932	9.3157
150356	0.220522	0.640197	2.43871	1.91563
84844	16.4982	19.5653	26.0706	24.4051
50	31.3269	44.9139	28.181	31.1991
5372	10.287	15.9486	18.1538	16.7736
10914	16.3674	22.52	11.7349	13.7866
3320	297.156	218.996	221.89	204.528
4140	1.84783	2.97603	2.28112	4.38983
1113	0	0.47776	0.571782	1.07503
1983	0.746971	1.39756	2.30881	2.06084
79038	2.61075	5.9451	4.23911	7.51125
7443	4.00307	4.43102	3.80469	3.26258
55968	2.04176	0.566312	1.08537	0.811378
2937	30.1648	37.9236	17.4777	26.1664
10544	7.25857	17.2914	24.6445	16.3682
100132911	0.122703	0.316682	0.22723	0.218713
1917	11.4531	98.8631	3.42341	5.374
5753	17.0861	0.271085	1.61948	1.8025
6725	3.46052	0.90929	0.620943	0.640845
113278	7.41796	9.78297	8.49466	3.36266
343637	0.0165939	0.108776	0.0313539	0.21689
343702	0	1.7504	0	0.0142928
6640	6.58436	7.25217	17.783	10.5821
128866	98.3951	93.6571	98.6646	105.855
191	120.774	126.766	51.7125	91.54
128869	16.1021	19.8975	9.31724	6.25408
6880	19.4712	13.0876	16.9129	16.801
9506	0.562303	0	0	0
79758	0.549207	0.556997	1.05942	0.752444
11151	31.857	44.7689	29.9312	26.2856
57149	2.04727	2.4408	2.18437	2.85023
80152	8.00173	8.47412	14.7224	13.9599
50855	0.517875	2.01432	1.67499	1.52866
3038	0.493751	0.12516	0.893998	0.721546
55512	1.73694	20.8321	1.8573	1.32859
57478	0.931768	1.29144	2.24984	1.82988
4150	34.7816	44.7764	20.0158	35.861
10423	18.2552	35.628	9.19377	13.6062
8767	4.43452	3.25622	2.4204	2.56717
1666	17.8225	13.509	12.9731	13.7654
56915	13.1292	23.0348	12.6411	16.6851
54623	29.8661	43.0272	41.5762	41.9257
4051	0.0805373	0.241272	0.0271695	0.0252725
4125	0.317413	0.483143	0.0045203	0.959157
10856	27.2134	30.0466	22.5162	31.8225
3972	0.525662	0.453744	0.177223	0.828637
3743	0.00984898	0.0277753	0.0709564	0.0383304
6625	22.7356	25.6681	26.7169	23.3526
64130	4.3099	10.3533	8.99327	7.81069
79735	6.59958	11.1065	14.6133	13.8202
81576	9.03819	8.39365	6.01412	8.71409
166	6.0492	17.7046	23.0825	14.6306
2091	61.5381	105.33	140.636	151.131
1178	0	0.816716	0	0
1089	0.263432	0.322531	0.119915	0.24519
973	0.743423	10.2868	12.9255	10.3921
6223	994.695	1127	3150.52	3032.28
4818	5.31363	26.7465	15.0675	9.21693
1048	0.106771	1.01659	0.000159059	0.0315094
11140	212.208	74.7569	114.836	105.483
10567	236.766	277.161	222.183	175.349
84518	101.681	44.6938	55.9423	55.6267
9545	8.1956	12.3275	5.42763	10.256
2639	4.71154	6.85393	8.25785	5.79399
1777	43.504	58.5291	26.7999	30.8289
2077	11.8185	15.5875	18.0267	18.31
2931	14.8808	28.7893	15.9344	20.8643
51619	9.84811	9.52465	11.5222	13.3775
85865	0.993057	1.00181	1.60061	1.59509
7980	0.157555	0.120194	0.850323	12.4198
10282	5.29586	5.7212	5.84951	7.95658
1749	1.17464	0.599144	0.290049	0.203257
94239	6.13755	13.2303	15.6486	14.812
858	5.45514	4.92817	26.1465	16.4491
8896	9.04327	14.539	17.2582	14.876
1577	0	0.0588578	0.712465	0.085993
8976	6.43068	10.3917	11.5505	13.8628
55744	14.0807	9.04478	8.12194	11.1237
165	199.068	135.069	86.9332	113.708
10652	29.4614	16.2786	20.2918	24.4502
146542	3.93918	5.2145	4.50157	4.29091
727	0.139817	0.621002	0.833116	1.53521
55848	9.58105	18.3961	7.05626	7.12605
8721	338.344	403.981	509.256	496.833
29760	3.11355	2.37232	2.28333	2.28691
5949	0	0	0.0189772	0.00939722
2662	0.0924763	0.58827	9.39044	6.6834
59	285.225	258.315	765.557	680.43
81855	13.9806	18.808	17.5639	19.0553
10105	80.8623	19.6954	11.4512	13.8014
23232	1.56868	1.67416	1.95659	2.45802
10610	0.512363	15.1543	12.9905	16.2695
57532	5.34276	5.73164	4.19307	4.97165
28964	14.5632	4.22343	21.1049	27.4753
5691	150.28	142.173	113.05	106.953
6827	18.5808	60.2822	34.1932	32.9501
8688	0.067542	0	0	0
2584	1.51204	0.777393	0.395532	0.617174
1362	32.0508	6.27045	5.15069	6.25066
9527	9.12811	5.56749	6.96095	7.96069
9144	25.1722	31.2761	17.5932	22.0365
100616408	59.0434	115.962	122.373	97.3603
6347	49.4665	59.2949	125.429	95.5563
6346	0	0.115427	0	0
6357	2.27171	3.55237	5.28233	4.93239
3882	0.054865	0	0.469873	0.461384
4669	17.2236	10.9379	16.2639	17.4274
3292	27.9101	0.30371	0.142637	0.699643
1949	0.574744	0.48772	3.8609	12.9135
29098	3.4836	7.31316	10.3352	7.85619
5957	0.0188727	0.0188959	0.0349181	0.194249
4619	0.0232127	0.00659227	0.00669633	0.0457348
7126	20.6906	14.8478	20.4294	18.2254
27346	6.4453	7.84043	3.06575	4.76936
3381	0.698385	1.13441	0	0
8649	10.0989	6.91928	6.68064	5.64723
116449	0.277285	0.0932759	0.0267293	0.0213635
3587	5.45253	8.21922	4.93056	4.88013
4254	0.534193	1.37884	1.4876	1.78903
6175	213.971	111.681	244.533	259.428
5829	4.77094	1.97923	4.40117	7.9969
9761	24.7004	12.6092	17.3799	23.0506
51561	0.956764	0.732224	1.07063	0.248821
4618	0	0	0	0
100507424	3.17133	7.06476	11.8323	11.2037
57097	0.972925	0.810002	0.448803	0.647634
6337	9.5169	1.23738	14.6506	11.1459
4940	17.8605	10.209	7.53442	11.9894
1967	2.51507	3.11529	8.11211	5.68403
7421	5.02168	9.41991	4.56326	6.32846
57122	2.87278	12.8764	2.97237	2.17472
8914	2.95735	1.29577	0.549357	0.422051
11021	11.1371	13.8747	18.4114	18.142
1337	727.747	896.274	681.46	618.547
283459	36.7824	39.0077	36.2192	44.5319
2729	5.22217	5.74996	4.25103	4.13819
26271	0.656106	7.8319	0.163327	0.0884572
6005	0	0	0	0
11329	7.15654	6.7519	8.74176	10.2466
4172	14.5322	12.6906	14.812	16.9511
4188	30.7827	2.85794	11.7505	13.8345
6908	2.57372	2.91315	1.86693	5.95139
5961	0.16441	0.294186	0.564435	0.37671
59084	0.355824	6.30718	4.01939	6.28299
4224	0	0.0288916	0.0873449	0
23438	6.15894	7.01575	5.78274	7.43619
2690	6.14777	2.0363	4.28886	3.20365
10902	3.72934	6.05476	5.02337	6.0819
1839	1.22426	2.59388	7.70667	3.94759
83697	0	0	0	0
56132	1.60057	0.41066	1.53097	2.59787
26167	6.33539	0.438434	2.9829	4.5601
56130	0.556815	0.980969	0.532685	0.609586
56129	0.565141	0.547185	1.85684	2.15361
56121	0.776966	0.718319	1.14552	1.97127
3567	0	0	0	0
56951	17.3103	43.4915	17.8163	22.7863
373	1.02012	1.24966	1.54041	1.75161
51185	6.11389	9.98844	10.3611	10.7383
604	7.56318	1.07042	11.0067	6.80207
5210	1.77291	1.90001	1.45727	1.74732
3280	27.7943	99.3315	56.8167	58.7665
1894	1.77493	3.37223	0.213671	1.10851
59345	6.27705	19.1773	5.71167	7.13587
80325	0.00123586	0.00273902	4.87106	3.9928
1653	24.5026	18.1729	19.9746	18.7067
9168	5646.8	2127.49	2036.93	2293.59
8440	10.1312	7.69275	12.8414	14.1687
6242	0.267645	0.781992	1.12607	1.61372
83444	17.2906	14.2536	23.9502	31.2295
150465	3.89667	3.71009	2.41347	4.77525
51011	1.25122	1.87854	3.15869	2.51783
51639	84.6518	71.8706	96.4411	78.5933
23559	48.5891	40.7698	55.9549	55.3081
7841	11.5213	6.26055	3.8867	5.91447
64427	4.15481	2.42309	2.06927	3.3937
84759	1.90663	3.54194	3.63715	3.22873
3196	0.151904	0.121594	0.0205444	0.0202676
1796	0.539789	1.18557	1.06761	1.86627
5967	0	0	0	0
55120	1.45018	2.50771	2.38957	2.18879
3769	0.135729	0.23037	0.0207193	0.0686544
2677	8.30074	3.87473	6.52717	7.50739
6549	0.26664	0.00737867	0.24362	0.439004
55041	4.46881	6.25217	4.96433	7.47768
9687	2.98591	0.000905789	1.07382	6.45818
6509	29.457	16.2806	7.40679	7.97376
5534	13.8967	12.3419	9.88275	14.9797
5341	9.16112	11.032	2.62913	4.65648
25806	1.02561	0.257769	2.4526	1.87583
525	0.275207	24.5744	13.3294	13.1387
2956	8.94368	5.44947	5.94919	10.7367
55706	4.95835	0.53349	2.04251	2.75681
4985	0	0.0251344	0.0256083	0.100874
64175	0.226509	0.525673	0.342558	0.254622
