JobId,User,Queue,SubmitTime,BeginTime,FinishedTime,SlotNum,RunTime,SummaryTime,Status,ExecutionCmd
175240,big,bioblade,2018/03/03/16:50,2018/03/03/16:50,2018/03/03/17:26,1,2158,2158,Done,python
175239,big,bioblade,2018/03/03/16:50,2018/03/03/16:50,2018/03/03/18:59,1,7748,7748,Done,python
175305,big,bioblade,2018/03/05/09:35,2018/03/05/09:35,2018/03/05/09:35,1,3,3,Done,python
175440,big,bioblade,2018/03/06/16:44,2018/03/06/16:44,2018/03/06/16:44,1,3,3,Done,python
175441,big,bioblade,2018/03/06/16:54,2018/03/06/16:54,2018/03/06/16:54,1,0,0,Done,python
175490,big,bioblade,2018/03/07/10:44,2018/03/07/10:44,2018/03/07/10:45,1,50,50,Done,python
175518,big,bioblade,2018/03/07/15:59,2018/03/07/15:59,2018/03/07/16:03,1,258,258,Done,python
177631,big,bioblade,2018/03/22/05:51,2018/03/22/05:51,2018/03/22/05:51,1,0,0,Done,setsid
240747,big,bioblade,2018/06/11/10:52,2018/06/11/10:52,2018/06/11/11:55,1,3758,3758,Done,bowtie-build
241018,big,bioblade,2018/06/11/14:58,2018/06/11/14:58,2018/06/11/20:00,1,18119,18119,Done,/share/home//dnabox/softwares/SPAdes-3.10.1-Linux/bin/spades.py
240753,big,bioblade,2018/06/11/11:57,2018/06/11/11:57,2018/06/11/21:04,15,32818,492270,Done,tophat2
242659,big,bioblade,2018/06/12/10:44,2018/06/12/10:44,2018/06/12/10:45,1,4,4,Done,/share/home//dnabox/softwares/SPAdes-3.10.1-Linux/bin/spades.py
242661,big,bioblade,2018/06/12/10:45,2018/06/12/10:45,2018/06/12/10:59,1,871,871,Done,/share/home//dnabox/softwares/SPAdes-3.10.1-Linux/bin/spades.py
242771,big,bioblade,2018/06/12/12:17,2018/06/12/12:17,2018/06/12/13:15,1,3498,3498,Done,/share/home//dnabox/softwares/SPAdes-3.10.1-Linux/bin/spades.py
244416,big,bioblade,2018/06/13/10:34,2018/06/13/10:34,2018/06/13/11:27,5,3222,16110,Done,/share/home/dnabox/softwares/Ragout-master/ragout.py
244424,big,bioblade,2018/06/13/10:40,2018/06/13/10:40,2018/06/13/11:28,5,2853,14265,Done,/share/home/dnabox/softwares/Ragout-master/ragout.py
244645,big,bioblade,2018/06/13/12:57,2018/06/13/12:57,2018/06/13/12:59,1,94,94,Done,CIRCexplorer2
250577,big,bioblade,2018/06/20/11:07,2018/06/20/11:07,2018/06/20/21:47,24,38379,921096,Done,cellranger
250578,big,bioblade,2018/06/20/11:07,2018/06/20/11:07,2018/06/20/21:51,24,38637,927288,Done,cellranger
250562,big,bioblade,2018/06/20/11:00,2018/06/20/11:00,2018/06/20/22:17,24,40675,976200,Done,cellranger
250514,big,bioblade,2018/06/20/10:35,2018/06/20/10:35,2018/06/21/03:59,1,62633,62633,Done,python
251916,big,bioblade,2018/06/21/09:02,2018/06/21/09:02,2018/06/21/10:31,24,5364,128736,Done,cellranger
251938,big,bioblade,2018/06/21/12:55,2018/06/21/12:55,2018/06/21/13:03,1,468,468,Done,cellranger
252349,big,bioblade,2018/06/21/22:09,2018/06/21/22:09,2018/06/21/22:09,1,28,28,Done,CIRCexplorer2
252350,big,bioblade,2018/06/21/22:11,2018/06/21/22:11,2018/06/21/22:11,1,39,39,Done,CIRCexplorer2
252695,big,bioblade,2018/06/22/11:15,2018/06/22/11:15,2018/06/22/12:21,1,3944,3944,Done,bowtie2-build
252768,big,bioblade,2018/06/22/13:30,2018/06/22/13:30,2018/06/22/14:57,24,5203,124872,Exit,bowtie2
252772,big,bioblade,2018/06/22/13:34,2018/06/22/13:34,2018/06/22/14:57,24,4977,119448,Exit,bowtie2
252846,big,bioblade,2018/06/22/15:01,2018/06/22/15:01,2018/06/22/15:01,1,1,1,Done,raxmlHPC
252873,big,bioblade,2018/06/22/15:48,2018/06/22/15:48,2018/06/22/15:55,1,418,418,Done,raxmlHPC
252897,big,bioblade,2018/06/22/16:36,2018/06/22/16:36,2018/06/22/16:36,1,0,0,Done,raxmlHPC
252898,big,bioblade,2018/06/22/16:36,2018/06/22/16:36,2018/06/22/16:36,1,0,0,Done,raxmlHPC
252899,big,bioblade,2018/06/22/16:36,2018/06/22/16:36,2018/06/22/16:36,1,0,0,Done,raxmlHPC
252832,big,bioblade,2018/06/22/14:58,2018/06/22/14:58,2018/06/22/16:42,24,6225,149400,Exit,bowtie2
252835,big,bioblade,2018/06/22/15:00,2018/06/22/15:00,2018/06/22/16:42,24,6125,147000,Exit,bowtie2
252913,big,bioblade,2018/06/22/16:54,2018/06/22/16:54,2018/06/22/16:54,1,4,4,Done,raxmlHPC
252915,big,bioblade,2018/06/22/16:54,2018/06/22/16:54,2018/06/22/16:54,1,1,1,Done,raxmlHPC
252914,big,bioblade,2018/06/22/16:54,2018/06/22/16:54,2018/06/22/16:54,1,7,7,Done,raxmlHPC
252918,big,bioblade,2018/06/22/16:55,2018/06/22/16:55,2018/06/22/17:00,1,287,287,Done,raxmlHPC
252919,big,bioblade,2018/06/22/16:55,2018/06/22/16:55,2018/06/22/17:00,1,297,297,Done,raxmlHPC
252920,big,bioblade,2018/06/22/16:55,2018/06/22/16:55,2018/06/22/17:00,1,318,318,Done,raxmlHPC
252908,big,bioblade,2018/06/22/16:49,2018/06/22/16:49,2018/06/22/17:23,24,2013,48312,Done,bowtie2
252909,big,bioblade,2018/06/22/16:49,2018/06/22/16:49,2018/06/22/19:05,24,8110,194640,Done,bowtie2
252855,big,bioblade,2018/06/22/15:09,2018/06/22/15:09,2018/06/22/21:24,1,22501,22501,Done,raxmlHPC
252975,big,bioblade,2018/06/23/20:28,2018/06/23/20:28,2018/06/23/20:49,1,1217,1217,Done,samtools
252976,big,bioblade,2018/06/23/20:29,2018/06/23/20:29,2018/06/23/21:00,1,1886,1886,Done,samtools
252977,big,bioblade,2018/06/23/22:00,2018/06/23/22:00,2018/06/23/22:22,1,1341,1341,Done,samtools
252978,big,bioblade,2018/06/23/22:08,2018/06/23/22:08,2018/06/23/22:38,1,1831,1831,Done,python
253562,big,bioblade,2018/06/24/16:50,2018/06/24/16:50,2018/06/24/16:50,24,2,48,Done,bowtie2
253560,big,bioblade,2018/06/24/16:49,2018/06/24/16:49,2018/06/24/17:42,1,3185,3185,Done,python
253767,big,bioblade,2018/06/24/19:24,2018/06/24/19:24,2018/06/24/19:24,24,6,144,Done,bowtie2
253773,big,bioblade,2018/06/24/19:28,2018/06/24/19:28,2018/06/24/19:28,24,2,48,Done,bowtie2
253779,big,bioblade,2018/06/24/19:32,2018/06/24/19:32,2018/06/24/19:33,1,84,84,Done,gunzip
253786,big,bioblade,2018/06/24/19:38,2018/06/24/19:38,2018/06/24/19:38,24,0,0,Done,bowtie2
253789,big,bioblade,2018/06/24/19:41,2018/06/24/19:41,2018/06/24/19:47,24,384,9216,Done,bowtie2
253797,big,bioblade,2018/06/24/19:47,2018/06/24/19:47,2018/06/24/20:01,24,813,19512,Done,bowtie2
253799,big,bioblade,2018/06/24/19:49,2018/06/24/19:49,2018/06/24/20:12,1,1413,1413,Done,cat
253819,big,bioblade,2018/06/24/20:04,2018/06/24/20:04,2018/06/24/20:30,1,1566,1566,Done,cat
255978,big,bioblade,2018/06/25/20:41,2018/06/25/20:41,2018/06/25/21:35,1,3213,3213,Done,cat
255979,big,bioblade,2018/06/25/20:42,2018/06/25/20:42,2018/06/25/21:40,1,3490,3490,Done,cat
268758,big,bioblade,2018/07/05/12:35,2018/07/05/12:35,2018/07/05/13:26,10,3035,30350,Done,python
269151,big,bioblade,2018/07/05/18:50,--------------,2018/07/05/19:17,24,0,0,Exit,bash
269157,big,bioblade,2018/07/05/19:17,2018/07/05/19:36,2018/07/05/19:36,20,24,480,Done,bash
269111,big,bioblade,2018/07/05/17:02,2018/07/05/17:02,2018/07/05/21:11,24,14934,358416,Done,bash
270950,big,bioblade,2018/07/06/10:04,2018/07/06/10:04,2018/07/06/10:04,24,13,312,Done,bash
271548,big,bioblade,2018/07/06/15:48,2018/07/06/15:48,2018/07/06/16:03,24,897,21528,Exit,bash
271409,big,bioblade,2018/07/06/14:37,2018/07/06/14:37,2018/07/06/16:21,1,6245,6245,Done,blastdbcmd
271609,big,bioblade,2018/07/06/16:34,2018/07/06/16:34,2018/07/06/16:45,1,647,647,Done,diamond
270937,big,bioblade,2018/07/06/09:59,2018/07/06/09:59,2018/07/06/16:59,24,25170,604080,Exit,bash
271584,big,bioblade,2018/07/06/16:03,2018/07/06/16:03,2018/07/06/17:35,24,5511,132264,Exit,bash
270956,big,bioblade,2018/07/06/10:06,2018/07/06/10:06,2018/07/06/17:53,24,27978,671472,Exit,bash
271787,big,bioblade,2018/07/06/22:25,2018/07/06/22:25,2018/07/06/22:41,1,952,952,Done,diamond
271625,big,bioblade,2018/07/06/18:06,2018/07/06/18:06,2018/07/08/01:22,24,112594,2702256,Done,bash
271622,big,bioblade,2018/07/06/17:35,2018/07/06/17:35,2018/07/08/02:35,24,118751,2850024,Done,bash
271623,big,bioblade,2018/07/06/17:42,2018/07/06/17:42,2018/07/08/03:13,24,120647,2895528,Done,bash
271626,big,bioblade,2018/07/06/18:19,2018/07/06/18:19,2018/07/08/03:31,24,119502,2868048,Done,bash
278328,big,bioblade,2018/07/08/15:17,2018/07/08/15:17,2018/07/08/20:06,24,17301,415224,Done,bash
280757,big,bioblade,2018/07/09/12:12,--------------,2018/07/09/12:39,1,0,0,Exit,diamond
281105,big,bioblade,2018/07/09/14:34,2018/07/09/14:34,2018/07/09/14:34,1,1,1,Done,diamond
281106,big,bioblade,2018/07/09/14:35,2018/07/09/14:35,2018/07/09/14:49,1,826,826,Done,diamond
279658,big,bioblade,2018/07/08/22:17,2018/07/08/22:17,2018/07/09/16:23,24,65206,1564944,Done,bash
281304,big,bioblade,2018/07/09/16:35,2018/07/09/16:35,2018/07/09/17:02,1,1647,1647,Done,diamond
278340,big,bioblade,2018/07/08/15:32,2018/07/08/15:32,2018/07/09/22:01,24,109769,2634456,Done,bash
280480,big,bioblade,2018/07/09/09:28,2018/07/09/09:28,2018/07/09/23:12,24,49390,1185360,Done,bash
281299,big,bioblade,2018/07/09/16:31,2018/07/09/16:31,2018/07/10/00:40,24,29301,703224,Done,bash
278348,big,bioblade,2018/07/08/15:41,2018/07/08/15:41,2018/07/10/02:19,24,124666,2991984,Done,bash
281864,big,bioblade,2018/07/09/23:12,2018/07/09/23:12,2018/07/10/04:25,24,18749,449976,Done,bash
283338,big,bioblade,2018/07/10/15:51,2018/07/10/15:51,2018/07/10/15:51,24,13,312,Done,blastp
283603,big,bioblade,2018/07/10/19:14,2018/07/10/19:14,2018/07/10/19:15,24,7,168,Done,python
283607,big,bioblade,2018/07/10/19:17,2018/07/10/19:17,2018/07/10/19:21,24,202,4848,Exit,python
282899,big,bioblade,2018/07/10/09:52,2018/07/10/09:52,2018/07/10/20:32,24,38427,922248,Done,bash
284079,big,bioblade,2018/07/10/22:22,2018/07/10/22:22,2018/07/11/03:41,24,19176,460224,Done,python
283349,big,bioblade,2018/07/10/15:54,2018/07/10/15:54,2018/07/11/06:30,24,52573,1261752,Done,blastp
280483,big,bioblade,2018/07/09/10:03,2018/07/09/14:27,2018/07/11/07:27,24,147609,3542616,Exit,bash
287441,big,bioblade,2018/07/11/14:53,2018/07/11/14:53,2018/07/11/15:19,1,1568,1568,Exit,diamond
279686,big,bioblade,2018/07/08/22:24,2018/07/08/22:24,2018/07/11/15:28,24,234273,5622552,Exit,bash
287538,big,bioblade,2018/07/11/15:29,2018/07/11/15:29,2018/07/11/15:43,24,805,19320,Done,bash
287571,big,bioblade,2018/07/11/15:41,2018/07/11/15:41,2018/07/11/16:46,1,3901,3901,Done,diamond
288449,big,bioblade,2018/07/11/17:46,2018/07/11/17:46,2018/07/11/23:21,12,20089,241068,Done,diamond
287356,big,bioblade,2018/07/11/14:20,2018/07/11/14:20,2018/07/12/11:16,24,75364,1808736,Exit,bash
289455,big,bioblade,2018/07/12/10:24,2018/07/12/10:24,2018/07/12/12:11,24,6393,153432,Exit,diamond
283362,big,bioblade,2018/07/10/16:25,2018/07/10/16:25,2018/07/12/13:37,24,162722,3905328,Exit,blastp
289475,big,bioblade,2018/07/12/11:17,2018/07/12/11:17,2018/07/12/14:49,24,12690,304560,Done,diamond
289781,big,bioblade,2018/07/12/15:45,2018/07/12/15:45,2018/07/12/17:05,24,4787,114888,Exit,diamond
290291,big,bioblade,2018/07/12/17:06,2018/07/12/17:06,2018/07/12/18:10,24,3835,92040,Done,diamond
291550,big,bioblade,2018/07/13/06:43,2018/07/13/06:43,2018/07/14/15:43,24,118785,2850840,Done,blastp
291549,big,bioblade,2018/07/13/06:41,2018/07/13/06:41,2018/07/14/22:55,24,144803,3475272,Done,blastp
290309,big,bioblade,2018/07/12/17:08,2018/07/12/17:08,2018/07/15/13:06,24,244678,5872272,Done,bash
287345,big,bioblade,2018/07/11/14:18,2018/07/11/14:18,2018/07/15/19:40,24,364883,8757192,Done,bash
292563,big,bioblade,2018/07/14/23:00,2018/07/14/23:00,2018/07/17/14:32,24,228695,5488680,Done,bash
293847,big,bioblade,2018/07/15/22:14,2018/07/15/22:14,2018/07/18/09:43,24,214112,5138688,Done,bash
298443,big,bioblade,2018/07/18/12:19,2018/07/18/12:19,2018/07/18/12:36,1,1007,1007,Done,perl
298444,big,bioblade,2018/07/18/12:20,2018/07/18/12:20,2018/07/18/12:36,1,995,995,Done,perl
298746,big,bioblade,2018/07/18/15:21,--------------,2018/07/18/15:42,24,0,0,Exit,bash
293848,big,bioblade,2018/07/15/22:16,2018/07/15/22:16,2018/07/18/16:24,24,238056,5713344,Done,bash
298859,big,bioblade,2018/07/18/16:15,2018/07/18/16:15,2018/07/18/17:10,1,3249,3249,Done,python
299329,big,bioblade,2018/07/18/21:27,2018/07/18/21:27,2018/07/18/21:28,24,72,1728,Exit,bash
288638,big,bioblade,2018/07/11/19:01,2018/07/11/19:01,2018/07/18/21:30,24,613734,14729616,Exit,bash
289498,big,bioblade,2018/07/12/13:39,2018/07/12/13:39,2018/07/18/23:39,24,554403,13305672,Done,blastp
